,Description,UseType
0,INSPECT FOR CERTIFICATE OF OCCUPANCY (OUT PATIENCE THERAPY); AMY ANDERSON (404)989-2867,Commercial
1,INSPECT FOR CERTIFICATE OF OCCUPANCY;  ARJO; MICHAEL GILLETTE(865)951-6541;,Commercial
2,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS A CLERICAL OFFICE.  TERESA CARTER  850-694-0371,Commercial
3,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS AN OFFICE FOR A STAFFING AGENCY.  ZACH ISBELL  205-558-9691,Commercial
4,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS AN OFFICE FOR A STAFFING AGENCY.  ZACH ISBELL  205-558-9691,Commercial
5,CERTIFICATE OF OCCUPANCY TO BE USED FOR A IT CONSULTING FIRM FOR SUITE 4050.  POINT OF CONTACT GRANITA GRIFFIN 205-862-5464,Commercial
6,"INSPECT FOR CERTIFICATE OF OCCUPANCY; OFFICE SPACE - TRIO SAFETY (CPR), 8449 CROSSLAND LOOP; (312)312-2244, DENNIS AGNEW",Commercial
7,CERT OF OCC/BUS LIC INSP FOR PROSTEC LLC/OFFICE USE.  SYS-CON LLC/ 281-1520/ WAS USED FOR OFFICE BEFORE,Commercial
8,ERECT A 42.4’ X 73.25’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1832 SF (LIVING AREA); 488 SF (GARAGE); 171 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
9,CUT CURB TO REPAIR EXISTING DRIVE WAY OF DWELLING. TURN OUT INSPECTION REQUIRED AND TO MEET ALL APPLICABLE CODES.,Residential
10,INSPECT PER BUSINESS LICENSE; NEW GROCERY STORE; EXISTING BUSINESS-AWNING SHOP;,Commercial
11,PLACE A 36' X 14' MODULAR BUILDING AND ERECT A 8FT HIGH CHAIN LINK FENCE TO AN EXISTING COMMERCIAL BUILDING. MODULAR BUILDING TO BE USED FOR COMMUNICATION BUILDING.  A SET OF STAMPED PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOB SITE AT ALL TIMES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Commercial
12,"ERECTA 6'X16' PYLON ID SIGN WITH TWO FACES ALSO 24'11""X2' RACEWAY LETTERS ON FACE OF COMMERCIAL BUILDING. PYLON 21' TOTAL HEIGHT. POLE SIZE 12X12X3/8. FOOTING SIZE 3'X12'3"". ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TO MEET ALL APPLICABLE CODES.",Commercial
13,CUT CURB TO REPAIR EXISTING DRIVE WAY OF DWELLING. TURN OUT INSPECTION REQUIRED AND TO MEET ALL APPLICABLE CODES.,Residential
14,"CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE FOR A TIRE AND SERVICE CENTER,  BRIAN AREVALO  531-5383.",Commercial
15,"POUR FOUNDATION TO ERECT A 387'4"" X 627'4"" ADDITION TO SIDE OF EXISTING COMMERCIAL BUILDING TO BE USED FOR ENGINE SHOP. ADDITIONAL PLANS AND PERMIT REQUIRED FOR STRUCTURAL. TO MEET ALL APPLICABLE CODES.  **FOUNDATION ONLY**",Commercial
16,"FIRE DAMAGE REPAIR AND RENOVATIONS TO UNITS 422, 421, 321, 322 OF COMMERCIAL BUILDING. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.",Commercial
17,"ERECT A 16' X 12' ATTACHED PATIO COVER TO REAR OF EXISTING DWELLING TO BE SCREENED-IN. FRAMING, FINAL INSPECTION WILL BE REQUIRED. TO MEET ALL APPLICABLE CODES.",Residential
18,"INSTALL UL LISTED LED CHANNEL LETTERS ON FACE OF COMMERCIAL BUILDING. SIGN SIZE 30""X126"". 30"" TOTAL HEIGHT. ILLUMINATED. UL NO. HR192866. TO MEET ALL APPLICABLE CODES.",Commercial
19,ADDING TWO ADDITIONAL PETITION WALL. MAINTAIN EXITS DURING CONSTRUCTION; MAINTAIN SPRINKLER COVERAGE; PER TERRY SULLIVAN. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
20,"GENERAL REPAIRS TO EXISTING DWELLING TO INCLUDE DRYWALL REPLACEMENT, PAINT AND TILE.  TO MEET ALL APPLICABLE CODES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS.",Residential
21,"INSPECT FOR CERTIFICATE OF OCCUPANCY-RETAIL CLOTHING. NEW BUSINESS, EXISTING BLDG FORMLY DXL; ANTHONY ARRINGTON (334)538-8860",Commercial
22,"GENERAL REPAIRS TO EXISTING DWELLING TO INCLUDE DRYWALL REPLACEMENT, PAINT AND TILE.  TO MEET ALL APPLICABLE CODES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS.",Residential
23,"GENERAL REPAIRS TO EXISTING DWELLING TO INCLUDE DRYWALL REPLACEMENT, PAINT AND TILE.  TO MEET ALL APPLICABLE CODES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS.",Residential
24,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  MUST COMPLY WITH ALL BEDROOM WINDOWS CODES.  TO MEET ALL APPLICABLE CODES.,Residential
25,ADDING TWO ADDITIONAL PETITION WALL. MAINTAIN EXITS DURING CONSTRUCTION; MAINTAIN SPRINKLER COVERAGE; PER TERRY SULLIVAN. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
26,"FIRE DAMAGE REPAIR AND RENOVATIONS TO UNITS 422, 421, 321, 322 OF COMMERCIAL BUILDING. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.",Commercial
27,ADDING TWO ADDITIONAL PETITION WALL. MAINTAIN EXITS DURING CONSTRUCTION; MAINTAIN SPRINKLER COVERAGE; PER TERRY SULLIVAN. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
28,LIQUOR LIC INSP FOR AR INVESTMENTS INC/RED ZONE PACKAGE STORE/ 334-549-9207 - MD AMINOL ISLAM,Commercial
29,"ERECT A 57' X 56 TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2937 SF TOTAL, 1452 SF 1ST FL, 965 SF 2ND FL, GARAGE 494 SF, OTHER 26 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS, STAIRS PER CODES. SAN FAC REQ PER IBC. MUST COMPLY WITH ENERGY CODE. TO MEET ALL APPLICABLE CODES.  (4BR/2 1/2 BATHS)",Residential
30,GENERAL REPAIR TO AN EXISTING DWELLING TO INCLUDE DECKING ON ROOF. TO MEET ALL APPLICABLE CODES.,Residential
31,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. INTERIOR REMOLDING TO UPGRADE FACILITY. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
32,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  MUST COMPLY WITH ALL BEDROOM WINDOWS CODES.  TO MEET ALL APPLICABLE CODES.,Residential
33,"FIRE DAMAGE REPAIR AND RENOVATIONS TO UNITS 422, 421, 321, 322 OF COMMERCIAL BUILDING. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.",Commercial
34,ERECT A 42.4’ X 73.25’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1832 SF (LIVING AREA); 488 SF (GARAGE); 171 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
35,"ERECT A 16'X 32' SWIMMING POOL IN REAR OF EXISTING DWELLING. 44"" LOCKABLE FENCE IS REQUIRED AROUND THE POOL AREA. DIRT WILL BE DUMPED AT 134 REDLAND ROAD. NOT TO ENCROACH ON REAR EASTMENT. TO MEET ALL APPLICABLE CODES.",Residential
36,CUT CURB TO CREATE DRIVEWAY FOR DWELLING.  TURN OUT INSPECTION WILL BE REQUIRED.  TO MEET ALL APPLICABLE CODES.,Residential
37,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING. INSTALL NEW COVERING FOR EXISTING PATIO. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
38,GENERAL REPAIRS TO EXISTING COMMERCIAL BUILDING TO BE USED FOR CONV STORE. MAINTAIN EXITS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
39,DEMOLISH AN EXISTING DWELLING TO CLEAR LOT. HEALTH DEPT APPROVAL ON FILE. WATER WORKS #139883 ON FLIE. BOND RECIEPT #427709 ON FLIE. PERMIT IS GOOD FOR (30) THIRTY DAYS. BUILDING FINAL INSPECTION IS REQUIRED. TO MEET ALL APPLICABLE CODES.,Residential
40,"INSTALL A 159""X43"" WALL SIGN TO THE FACE OF AN EXISTING BUILDING. SIGN TO BE ILLUMINATED.  UL NUMBERS A46406339. TO MEET ALL APPLICABLE CODES.",Commercial
41,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  MUST COMPLY WITH ALL BEDROOM WINDOWS CODES.  TO MEET ALL APPLICABLE CODES.,Residential
